id,startdate,submitdate,lastpage,treatment,willingnessjobrec1,willingnessjobrec2,paffect1,paffect2,paffect3,paffect4,paffect5,paffect6,naffect1,naffect2,naffect3,naffect4,naffect5,naffect6,turnover1,turnover2,turnover3,prosocialimpact1,prosocialimpact2,prosocialimpact3,manipulationcheck,taskvariety1,taskvariety2,taskvariety3,taskvariety4,taskvariety5,taskanalyz1,taskanalyz2,taskanalyz3,taskanalyz4,attention1,autonomy1,autonomy2,autonomy3,beneficiaries1,beneficiaries2,attention2,manager,gender,yearbirth,educator,sector,subsector,atwork,duration_treatment_general,duration_treatment_prosocial,duration_treatment_societal
40,2017-12-11T16:08:29Z,2017-12-11T16:15:30Z,11,3,4,2,7,6,6,6,6,6,1,1,1,1,1,1,7,2,7,7,7,7,2,2,3,2,3,3,4,4,3,3,3,6,6,6,6,6,1,0,1,1964,1,1,3,1,,181.05,
41,2017-12-11T16:09:35Z,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2017-12-11T16:11:03Z,2017-12-11T16:18:55Z,11,2,4,2,6,6,6,6,6,6,1,1,1,1,1,1,5,2,2,6,6,6,1,2,3,3,2,2,3,3,3,3,3,5,5,5,6,6,1,1,1,1977,1,1,1,1,145.78,,
43,2017-12-11T16:11:50Z,2017-12-11T16:20:01Z,11,2,4,2,5,5,5,5,5,5,3,3,4,3,3,3,5,3,3,5,4,5,1,2,2,3,3,3,2,3,2,2,3,5,5,5,6,5,1,4,1,1967,0,3,0,0,250.19,,
44,2017-12-11T16:13:35Z,2017-12-11T16:18:25Z,11,2,4,2,6,6,,6,5,6,2,2,2,1,1,1,3,5,5,6,6,6,1,4,4,4,4,4,3,3,3,3,3,5,5,5,5,5,1,0,1,1982,1,1,1,1,103.09,,
45,2017-12-11T16:20:49Z,2017-12-11T16:24:03Z,11,2,4,4,6,6,7,6,6,6,3,3,3,6,3,3,6,2,2,5,6,6,2,3,3,4,4,3,4,4,4,3,3,3,5,3,3,5,1,0,0,1987,1,1,2,1,78.99,,
46,2017-12-11T16:21:51Z,2017-12-11T16:28:48Z,11,4,4,2,6,6,5,5,5,5,2,2,2,2,6,2,6,2,3,6,6,6,3,3,3,3,2,4,3,4,4,3,3,3,3,3,5,6,1,0,1,1988,0,2,0,0,,,175.27
47,2017-12-11T16:22:46Z,2017-12-11T16:26:35Z,11,1,3,2,5,5,5,3,3,4,2,1,1,2,1,1,6,1,1,7,6,7,,2,3,3,3,2,3,4,3,4,3,4,5,4,7,7,7,0,1,1960,1,1,1,1,,,
48,2017-12-11T16:23:04Z,2017-12-11T16:33:36Z,11,3,2,4,6,6,6,6,,6,1,1,5,1,1,1,7,1,1,7,7,7,2,3,3,3,3,4,4,4,4,4,3,7,7,7,7,7,1,0,1,1976,1,1,2,1,,119.32,
49,2017-12-11T16:23:56Z,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864.07
50,2017-12-11T16:24:55Z,2017-12-11T16:34:52Z,11,4,5,1,7,7,7,7,7,7,1,1,1,1,1,1,7,1,1,7,7,7,1,3,2,2,2,2,5,5,5,5,3,7,7,7,7,7,1,6,0,1976,1,3,3,0,,,200.99
51,2017-12-11T16:25:00Z,2017-12-11T16:36:46Z,11,2,4,4,5,5,5,5,2,5,2,2,2,2,2,2,6,2,2,6,6,6,1,4,3,3,3,3,4,4,4,3,3,4,5,4,6,6,2,1,1,1974,1,1,2,1,142.14,,
52,2017-12-11T16:25:23Z,2017-12-11T16:46:38Z,11,1,5,3,7,7,7,7,4,,1,1,1,1,1,1,7,3,1,7,7,7,,3,3,3,3,4,3,4,1,3,3,,7,7,4,6,1,0,1,1983,1,1,1,1,,,
53,2017-12-11T16:25:34Z,2017-12-11T16:33:25Z,11,4,4,2,5,6,5,5,5,5,2,2,2,2,2,2,4,3,5,6,7,6,2,3,3,3,3,3,4,4,3,4,3,5,5,6,6,6,1,0,2,1991,1,1,5,0,,,78.19
54,2017-12-11T16:25:52Z,2017-12-11T16:36:03Z,11,3,5,1,6,6,6,6,5,6,1,1,1,1,2,1,7,1,1,6,6,7,2,3,2,2,2,2,2,2,3,2,3,5,3,5,7,7,1,0,0,1988,1,1,3,0,,224.98,
55,2017-12-11T16:28:48Z,2017-12-11T16:31:26Z,11,1,4,4,6,6,6,6,5,6,1,1,1,1,1,1,2,2,3,6,6,6,,2,2,2,2,3,4,4,4,4,3,5,5,5,6,6,1,0,1,1980,1,3,2,0,,,
56,2017-12-11T16:29:20Z,2017-12-11T16:34:47Z,11,4,4,2,5,5,5,5,5,4,4,4,4,4,4,4,6,3,6,6,6,6,3,4,4,4,4,4,4,3,3,3,3,4,5,6,5,5,1,2,0,1978,1,3,3,1,,,121.23
57,2017-12-11T16:32:33Z,2017-12-11T16:36:56Z,11,1,3,4,5,6,6,6,5,6,1,2,2,4,2,1,7,1,1,6,5,6,,2,3,3,2,2,3,5,2,4,3,6,6,6,5,5,1,0,0,1976,1,1,3,1,,,
58,2017-12-11T16:33:01Z,2017-12-11T16:36:30Z,11,4,5,1,6,6,6,6,6,6,1,1,1,1,1,1,7,1,1,7,7,7,3,3,3,3,3,3,3,4,3,3,3,7,7,7,7,7,1,0,0,1990,1,1,2,1,,,66.76
59,2017-12-11T16:37:04Z,2017-12-11T16:41:27Z,11,3,5,2,6,6,6,6,5,6,2,2,2,2,2,2,6,2,2,6,6,6,2,3,3,3,3,3,4,4,3,3,3,6,6,6,7,7,1,1,1,1982,1,2,4,0,,80.28,
60,2017-12-11T16:37:06Z,2017-12-11T16:47:04Z,11,2,4,2,4,5,2,4,2,6,4,3,4,1,6,5,4,5,2,6,3,4,2,4,4,5,3,2,2,5,3,2,4,4,5,3,6,4,1,0,0,1995,1,1,2,0,238.37,,
61,2017-12-11T16:37:42Z,2017-12-11T16:41:37Z,11,2,5,1,6,6,5,6,5,6,2,2,1,2,1,1,4,1,4,7,7,7,1,3,4,3,2,4,4,3,4,3,3,6,6,6,7,7,1,0,1,1994,1,1,3,1,98.99,,
62,2017-12-11T16:40:18Z,2017-12-11T16:45:23Z,11,2,4,2,7,5,6,5,7,6,1,2,2,1,1,2,7,1,1,6,7,6,1,4,4,4,4,5,4,3,3,5,3,7,6,7,6,6,1,2,0,1984,1,1,2,1,189.85,,
63,2017-12-11T16:41:52Z,2017-12-11T17:01:02Z,11,4,5,1,6,6,6,6,6,6,1,1,1,1,1,1,6,2,3,5,6,6,3,3,3,3,3,3,4,4,4,4,3,4,4,4,6,6,1,0,1,1985,1,2,4,0,,,355.89
64,2017-12-11T16:45:03Z,2017-12-11T16:53:10Z,11,2,2,2,6,6,6,5,6,4,3,2,2,2,2,2,2,6,6,6,6,6,1,3,3,3,3,3,2,4,2,2,3,6,6,6,7,7,1,0,1,1993,1,3,3,0,105.51,,
65,2017-12-11T16:45:04Z,2017-12-11T16:52:22Z,11,4,5,1,6,5,5,4,2,5,2,2,4,2,2,2,7,4,1,7,7,7,3,4,3,3,2,3,4,5,3,4,3,6,6,6,7,7,1,0,1,1971,1,1,2,1,,,214.9
66,2017-12-11T16:45:56Z,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2017-12-11T16:47:46Z,2017-12-11T16:58:55Z,11,4,5,1,7,7,7,7,7,2,1,1,1,1,3,1,7,1,1,7,7,7,2,2,4,3,3,3,3,3,2,4,4,5,4,6,6,5,1,6,1,1959,1,1,5,1,,,384.34
68,2017-12-11T16:52:35Z,2017-12-11T16:57:21Z,11,4,4,1,6,6,6,6,6,5,1,1,1,1,1,1,6,1,1,6,6,7,3,3,3,3,3,3,3,4,4,4,3,5,5,5,7,7,1,0,0,1992,1,3,4,0,,,118.52
69,2017-12-11T16:52:58Z,2017-12-11T16:58:43Z,11,2,5,1,4,5,5,4,4,5,5,3,3,1,2,2,2,5,7,7,7,7,1,1,3,2,1,1,2,3,3,3,3,5,5,5,4,4,1,0,1,1990,1,3,1,1,94.12,,
70,2017-12-11T16:53:01Z,2017-12-11T16:59:59Z,11,4,4,2,6,6,6,5,5,6,2,2,2,1,2,2,5,2,2,6,6,6,3,3,3,3,3,4,4,4,3,4,3,6,6,6,6,6,1,0,0,1986,1,3,5,0,,,177.85
71,2017-12-11T17:03:47Z,2017-12-11T17:11:41Z,11,4,2,3,3,4,3,3,3,3,4,5,5,3,3,5,3,4,5,6,7,6,3,3,3,3,1,2,3,4,2,4,3,6,6,5,7,7,1,0,1,1992,1,1,1,0,,,195.21
72,2017-12-11T17:04:05Z,2017-12-11T17:15:31Z,11,4,5,1,6,6,6,6,6,7,1,1,1,1,1,1,7,1,1,7,6,7,3,3,4,4,3,4,5,4,5,4,3,6,6,6,6,6,1,0,1,1961,1,2,4,0,,,194.7
73,2017-12-11T17:04:55Z,2017-12-11T17:13:04Z,11,2,4,2,7,7,7,7,7,7,1,1,1,1,1,1,7,1,1,5,7,7,1,3,4,3,3,2,2,2,1,3,3,3,3,5,7,7,1,0,0,1985,1,1,1,0,190.55,,
74,2017-12-11T17:09:41Z,2017-12-11T17:15:40Z,11,1,3,1,6,6,6,5,1,5,1,1,1,1,1,1,6,2,2,7,7,7,,2,2,2,3,2,3,4,3,4,3,5,6,5,6,6,1,0,1,1959,1,3,3,0,,,
75,2017-12-11T17:10:48Z,2017-12-11T17:18:54Z,11,4,2,4,5,6,5,5,5,3,3,3,3,3,3,3,5,5,5,7,7,7,3,3,1,2,2,3,3,3,3,3,3,5,5,5,7,7,1,0,1,1964,1,1,2,1,,,188.3
76,2017-12-11T17:10:50Z,2017-12-11T17:13:48Z,11,1,4,2,5,3,5,4,3,3,3,3,5,5,5,2,6,3,2,5,6,6,,2,3,2,3,3,2,3,3,2,3,3,2,3,6,6,1,0,1,1985,1,3,2,1,,,
77,2017-12-11T17:15:11Z,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2017-12-11T17:15:52Z,2017-12-11T17:21:28Z,11,2,3,2,4,5,5,5,4,5,4,2,3,2,2,2,4,4,3,5,5,5,1,4,4,4,4,4,3,4,4,4,3,5,5,4,5,5,1,4,0,1988,0,1,3,1,128.83,,
79,2017-12-11T17:19:10Z,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
